feature,importance_gain,importance_split
state_we,1285609.3911647797,223
batting_score_diff_before,55244.74340057373,33
pitcher_pre_whip_before,9150.473546981812,119
pitcher_pre_ip_before,5381.742475509644,94
pitcher_pre_k9_before,4869.9889850616455,98
pitcher_pre_era_before,4760.762310028076,115
pitcher_pre_bb9_before,4615.561580657959,85
inning,4469.275106430054,46
pitcher_pre_games_before,3093.484712600708,64
is_top_bool,2689.8823223114014,17
pitcher_pre_cum_hr,2203.7939071655273,52
late_clutch,1703.1210289001465,9
scoring_position_before,1669.2630310058594,2
batter_pre_games_before,516.459300994873,15
batter_pre_cum_ab,403.2595958709717,7
state_re,240.27840042114258,4
batter_pre_cum_bb,133.9337043762207,4
is_home_batting,99.26259994506836,3
batter_pre_slg_before,29.678600311279297,1
batter_pre_cum_hr,25.05590057373047,1
outs_before,0.0,0
base1_before,0.0,0
base2_before,0.0,0
base3_before,0.0,0
runners_on_before,0.0,0
batter_pre_obp_approx_before,0.0,0
batter_pre_ops_before,0.0,0
batter_pre_cum_kk,0.0,0
batter_pre_avg_before,0.0,0
same_hand_matchup,0.0,0
batter_platoon_advantage,0.0,0
